Country/Territory,Subregion,Region,GDP Estimate in USD per capita as per IMF,Year as per IMF,GDP Estimate in USD per capita as per UN,Year as per UN,GDP Estimate in USD per capita as per World Bank,Year as per World Bank
Monaco ,Western Europe,Europe,N/A,,190532,2019,190513,2019
Liechtenstein ,Western Europe,Europe,N/A,,179258,2019,180367,2018
Luxembourg ,Western Europe,Europe,131782,2021,115481,2019,115874,2020
Bermuda ,Northern America,Americas,N/A,,117768,2019,117098,2019
Cayman Islands ,Caribbean,Americas,N/A,,92692,2019,91393,2019
Switzerland ,Western Europe,Europe,94696,2021,85135,2019,86602,2020
Ireland ,Northern Europe,Europe,94556,2021,81637,2019,83813,2020
Macau ,Eastern Asia,Asia,58004,2021,84097,2019,86118,2019
Norway ,Northern Europe,Europe,81995,2021,74986,2019,67295,2020
United States ,Northern America,Americas,68309,2021,65134,2019,63544,2020
Iceland ,Northern Europe,Europe,65273,2021,71345,2019,59261,2020
Denmark ,Northern Europe,Europe,67218,2021,60657,2019,60909,2020
Singapore ,South-eastern Asia,Asia,64103,2021,64103,2019,59798,2020
Qatar ,Western Asia,Asia,59143,2021,64782,2019,50806,2020
Australia ,"Australia, New Zealand",Oceania,62723,2021,54763,2019,51812,2020
Sweden ,Northern Europe,Europe,58977,2021,52896,2019,51926,2020
Netherlands ,Western Europe,Europe,58003,2021,53053,2019,52304,2020
Greenland ,Northern America,Americas,N/A,,53353,2019,54471,2018
Finland ,Northern Europe,Europe,54330,2021,48678,2019,49041,2020
Austria ,Western Europe,Europe,53859,2021,49701,2019,48105,2020
San Marino ,Southern Europe,Europe,49765,2021,47313,2019,47731,2019
British Virgin Islands ,Caribbean,Americas,N/A,,48511,2019,N/A,
Hong Kong ,Eastern Asia,Asia,49036,2021,49180,2019,46324,2020
Germany ,Western Europe,Europe,51860,2021,46232,2019,45724,2020
Belgium ,Western Europe,Europe,50103,2021,46198,2019,44594,2020
Canada ,Northern America,Americas,49222,2021,46550,2019,43242,2020
Israel ,Western Asia,Asia,47602,2021,46376,2019,43611,2020
New Zealand ,"Australia, New Zealand",Oceania,47499,2021,43264,2019,41792,2020
